year,make,model,display_trim,bolt_pattern,center_bore_mm,thread_size,offset_min,offset_max,diameter_min,diameter_max,width_min,width_max,wheel_count,source,issue_types,issue_details
2018,"nissan","titan-xd","SV","6x139.7",78.1,"M14x1.5",-25,45,17,20,7.5,8,3,"manual_backfill [tpl:nissan_titan_xd_2016_plus]","exact_safe","Specs within expected ranges"
2018,"nissan","versa","S, SV, SR","4x100",59.1,"M12x1.25",40,50,15,16,5.5,6.5,4,"cache-import","sibling_aggregation","Multiple trims grouped: S, SV, SR"
2018,"nissan","z","Sport, Performance, NISMO","5x114.3",66.1,"M12x1.25",30,53,18,19,8,10,2,"cache-import","sibling_aggregation","Multiple trims grouped: Sport, Performance, NISMO"
2018,"porsche","911","Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS","5x130",71.6,"M14x1.5",46,63,19,21,8.5,12,4,"cache-import","sibling_aggregation; width_range_too_broad","Multiple trims grouped: Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS; 3.5"" width spread (8.5"" to 12"")"
2018,"porsche","boxster","Base, S, GTS, Spyder","5x130",71.6,"M14x1.5",40,56,17,19,7,8,3,"cache-import","sibling_aggregation","Multiple trims grouped: Base, S, GTS, Spyder"
2018,"porsche","cayenne","Base, S, E-Hybrid, GTS, Turbo, Turbo S","5x130",71.6,"M14x1.5",50,59,18,22,8.5,11.5,9,"cache-import","sibling_aggregation","Multiple trims grouped: Base, S, E-Hybrid, GTS, Turbo, Turbo S"
2018,"porsche","macan","Base, S, GTS, Turbo","5x112",66.5,"M14x1.5",19,55,18,21,8.5,11,2,"cache-import","sibling_aggregation","Multiple trims grouped: Base, S, GTS, Turbo"
2018,"porsche","panamera","Base, 4, 4S, GTS, Turbo, Turbo S","5x112",66.5,"M14x1.5",17,61,19,22,10,12,2,"cache-import","sibling_aggregation","Multiple trims grouped: Base, 4, 4S, GTS, Turbo, Turbo S"
2018,"ram","1500","5.7 HEMI","5x139.7",77.8,"M14 x 1.5",,19.05,20,22,8,10,4,"inherited_from_2015_SAME_GENERATION","plausible_shared","Multiple specs with reasonable spread"
2018,"ram","1500","Base","5x139.7",77.8,"M14 x 1.5",-12,25,17,22,7,8.5,4,"merge_consolidation","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Big Horn","5x139.7",77.8,"M14 x 1.5",-12,25,18,18,8,8,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Big Horn","5x139.7",77.8,"M14 x 1.5",-12,25,18,18,8,8,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Express","5x139.7",77.8,"M14 x 1.5",-12,25,17,17,7,7,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Laramie","5x139.7",77.8,"M14 x 1.5",-12,25,20,20,9,9,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Laramie","5x139.7",77.8,"M14 x 1.5",-12,25,20,20,8,8,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Laramie Longhorn","5x139.7",77.8,"M14 x 1.5",-12,25,20,20,9,9,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Limited","5x139.7",77.8,"M14 x 1.5",-12,25,20,20,8,8,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Limited","5x139.7",77.8,"M14 x 1.5",-12,25,20,20,9,9,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Rebel","5x139.7",77.8,"M14 x 1.5",-12,25,17,17,8,8,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Rebel","5x139.7",77.8,"M14 x 1.5",-12,25,17,17,8,8,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","SLT","5x139.7",77.8,"M14 x 1.5",-12,25,17,17,8,8,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Sport","5x139.7",77.8,"M14 x 1.5",-12,25,20,20,9,9,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Tradesman","5x139.7",77.8,"M14 x 1.5",-12,25,17,17,7,7,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","1500","Tradesman","5x139.7",77.8,"M14 x 1.5",-12,25,17,17,7,7,1,"generation_inherit","offset_range_too_broad","37mm offset spread (-12mm to 25mm)"
2018,"ram","2500","Big Horn","8x165.1",121.3,"M14x1.5",-44,50,17,20,8,8,3,"api_import [template:ram_hd_gen4_2010_2018]","exact_safe","Specs within expected ranges"
2018,"ram","2500","Laramie","8x165.1",121.3,"M14x1.5",-44,50,17,20,8,8,3,"api_import [template:ram_hd_gen4_2010_2018]","exact_safe","Specs within expected ranges"
2018,"ram","2500","Laramie Longhorn","8x165.1",121.3,"M14x1.5",-12,60,20,20,8,8,1,"merge_consolidation","offset_range_too_broad","72mm offset spread (-12mm to 60mm)"
2018,"ram","2500","Limited","8x165.1",121.3,"M14x1.5",-44,50,17,20,8,8,3,"api_import [template:ram_hd_gen4_2010_2018]","exact_safe","Specs within expected ranges"
2018,"ram","2500","Power Wagon","8x165.1",121.3,"M14x1.5",-44,50,17,20,8,8,3,"api_import [template:ram_hd_gen4_2010_2018]","exact_safe","Specs within expected ranges"
2018,"ram","2500","SLT","8x165.1",121.3,"M14x1.5",-12,60,17,18,8,8,2,"merge_consolidation","offset_range_too_broad","72mm offset spread (-12mm to 60mm)"
2018,"ram","2500","Tradesman","8x165.1",121.3,"M14x1.5",-44,50,17,20,8,8,3,"api_import [template:ram_hd_gen4_2010_2018]","exact_safe","Specs within expected ranges"
