id,year,make,model,trim,tire_count,wheel_count,package_count,category,failure_reason,root_cause,tire_sizes,bolt_pattern,wheel_diams
21ffa53f-d6c7-4b8a-aaf8-33f9590c0031,2019,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
56698d5f-9bc4-4afa-9c53-8ed8f83f3eb1,2020,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
68a17390-fe71-4c51-98d3-bd2615fa3f9a,2021,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
041241ca-e374-4a89-bf98-3e750df3a3b8,2022,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
17c2c829-7f39-433c-ad1c-648421d38c54,2023,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
2f3daf9f-02e6-46ef-8ebb-0ad1c413ba0f,2024,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
6f353636-33f4-4079-86c1-b490710e8388,2025,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
79230211-80af-4b12-a2f9-58652d236e05,2026,Buick,enclave,Avenir,0,618,3,C,no tire inventory for size(s),missing_inventory_tires,265/50R21,5x120,21
914e7580-bb76-43b3-84f8-ed4e449eaff3,2018,Cadillac,ATS,Premium Performance Sedan,0,180,3,C,only vintage/non-standard sizes: 225/40RF18 255/35RF18,vintage_tire_size,225/40RF18|255/35RF18,5x115,18
5f68931f-906d-4e10-bb4e-56091c742884,2018,Cadillac,ATS,Premium Performance Coupe,0,180,3,C,only vintage/non-standard sizes: 225/40RF18 255/35RF18,vintage_tire_size,225/40RF18|255/35RF18,5x115,18
8b536788-72e3-435d-be70-d1be9f1cdc43,2018,Cadillac,CTS,Base,0,618,2,C,only vintage/non-standard sizes: P245/45RF17,vintage_tire_size,P245/45RF17,5x120,
444791f3-2039-4c83-887f-a060ce6db003,1955,Cadillac,DeVille,Base,0,140,3,C,only vintage/non-standard sizes: 8.00-15,vintage_tire_size,8.00-15,5x115,15
d0d4f595-2941-49d7-a8c6-2a88827b65b2,1956,Cadillac,DeVille,Base,0,140,3,C,only vintage/non-standard sizes: 8.00-15,vintage_tire_size,8.00-15,5x115,15
53acfd6a-bccc-415d-8c19-6a6d11b2f756,1957,Cadillac,DeVille,Base,0,140,3,C,only vintage/non-standard sizes: 8.00-15,vintage_tire_size,8.00-15,5x115,15
d5b02d12-33b5-427b-8c00-7e1dc1f77d14,1958,Cadillac,DeVille,Base,0,140,3,C,only vintage/non-standard sizes: 8.00-15,vintage_tire_size,8.00-15,5x115,15
35c60f09-5e64-42e0-831f-2be9838f871c,1959,Cadillac,DeVille,Base,0,140,3,C,only vintage/non-standard sizes: 8.00-15,vintage_tire_size,8.00-15,5x115,15
78fd73d6-1afd-4970-af48-5bb296da3144,1960,Cadillac,DeVille,Base,0,140,3,C,only vintage/non-standard sizes: 8.00-15,vintage_tire_size,8.00-15,5x115,15
2ac842c5-385e-42d8-b292-5037eb786411,1961,Cadillac,DeVille,Base,0,140,3,C,only vintage/non-standard sizes: 8.00-15,vintage_tire_size,8.00-15,5x115,15
