year,make,model,n_rows,our_union,tried,other_years_matched
2024,audi,q6-e-tron,1,235/55R19 255/50R19 255/45R20 285/40R21,Q6 e-tron | Q6 e-tron Quattro | Q6 E Tron,true
2026,audi,q6-e-tron,1,235/55R19 255/50R19 255/45R20 285/40R21,Q6 e-tron | Q6 e-tron Quattro | Q6 E Tron,true
2025,audi,q6l-sportback-e-tron,1,235/40R19,Q6L Sportback e-tron | Q6L Sportback E Tron | Q 6 Etron,false
2016,audi,q7,5,255/60R18 255/55R19 285/45R20 285/40R21 285/35R22,Q7 | Q7 Quattro | Q7 Premium | Q7 Premium Plus | Q7 Prestige | Q7 SQ7,true
2023,audi,q8-e-tron,1,245/45R20,Q8 e-tron | Q8 e-tron Quattro | Q8 E Tron | Etron,true
2025,audi,q8-e-tron,1,245/45R20,Q8 e-tron | Q8 e-tron Quattro | Q8 E Tron | Etron,true
2023,audi,q8-sportback-e-tron,1,245/45R20,Q8 e-tron Sportback | Q8 Sportback e-tron | Q8 Sportback E Tron | Q 8 Etron,true
2025,audi,q8-sportback-e-tron,1,245/45R20,Q8 e-tron Sportback | Q8 Sportback e-tron | Q8 Sportback E Tron | Q 8 Etron,true
2007,audi,r8,1,245/35R19 295/35R19 295/30R20 305/30R20,R8,true
2013,audi,r8,1,245/35R19 295/35R19 295/30R20 305/30R20,R8,true
2016,audi,r8,1,245/35R19 295/35R19 295/30R20 305/30R20,R8,true
2019,audi,r8,1,245/35R19 295/35R19 295/30R20 305/30R20,R8,true
2017,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2019,audi,rs-models,1,275/30R19 275/30R20,RS Models | RSMODELS | RS 3 | RS 5,false
2020,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2021,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2022,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2023,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2024,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2025,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2026,audi,rs-models,1,255/35R19 275/30R20 255/30R21 285/30R21,RS Models | RSMODELS | RS 3 | RS 5,false
2021,audi,rs3,1,255/30R19,RS3 | RS 3,true
2010,audi,rs5,1,255/35R19 275/30R20,RS5 | RS5 Sportback | RS 5,true
2011,audi,rs5,1,255/35R19 275/30R20,RS5 | RS5 Sportback | RS 5,true
2012,audi,rs5,1,255/35R19 275/30R20,RS5 | RS5 Sportback | RS 5,true
2016,audi,rs5,1,255/35R19 275/30R20,RS5 | RS5 Sportback | RS 5,true
2017,audi,rs5,1,255/35R19 275/30R20,RS5 | RS5 Sportback | RS 5,true
2020,audi,rs5,1,275/30R20,RS5 | RS5 Sportback | RS 5,true
2002,audi,rs6,1,225/45R18,RS6 Avant | RS6,true
2020,audi,rs6,1,285/30R22,RS6 Avant | RS6,true
2019,audi,rs7,1,275/35R21 285/30R22,RS7 Sportback | RS7,true
2020,audi,rs7,1,275/35R21 285/30R22,RS7 | RS7 Sportback,true
2021,audi,s3,1,225/45R17 225/40R18 235/35R19,S3 | S3 Quattro,true
2003,audi,s4,3,245/40R18,S4 | S4 Quattro | S4 Avant | S4 Sedan,true
2017,audi,s4,3,245/40R18 255/35R19,S4 | S4 Quattro | S4 Avant | S4 Premium Plus | S4 Premium | S4 Prestige,true
2026,audi,s4,4,245/40R18 255/35R19 265/30R20,S4 | S4 Quattro | S4 Avant | S4 S4 | S4 S4 Premium Plus | S4 S4 Prestige,true
2007,audi,s5,1,255/35R19,S5 | S5 Sportback | S5 Cabriolet | S5 Coupe,true
1996,audi,s6,1,225/50R16 225/45R17,S6 | S6 Quattro | S6 C4,true
