id,year,make,model,trim,source,range,our_bolt,rk_bolt,bolt,our_bore,rk_bore,bore,our_stud,rk_stud,stud,rk_ref
"8dd7d9b3-4805-4f2a-b726-f2abb3f0bfa2","2008","buick","enclave","Leather","google-ai-overview","tight","6x120","6x132","disagree","67.1","74.5","disagree","M14x1.5","M14x1.5","agree","BUICK ENCLAVE CX, CXL 2008"
"9a102972-a215-4366-bc02-f2239ed2a653","2008","buick","enclave","Premium","google-ai-overview","tight","6x120","6x132","disagree","67.1","74.5","disagree","M14x1.5","M14x1.5","agree","BUICK ENCLAVE CX, CXL 2008"
"e979da7f-749f-4aa6-b2d1-753214b69b3d","2003","audi","a4","1.8T","generation_inherit","tight","5x112","5x112","agree","66.5","57.1","disagree","M14x1.5","M14x1.5","agree","AUDI A4 1996 > ; AUDI A4 1996-08"
"cd88e3e0-481f-49d9-90e9-08d1127f8a19","2008","audi","s8","Base","trim-research","tight","5x112","5x112","agree","66.5","57.1","disagree","M14x1.5","M14x1.5","agree","AUDI S8 (LARGER CALIPERS) 2001 >"
"aa8f02ed-ee6d-462d-a5f2-d4d785cad0b2","2007","audi","tt","Base","catalog-gap-fill","tight","5x112","5x100","disagree","57.1","57.1","agree","M14x1.5","M14x1.5","agree","AUDI TT 1999 > ; AUDI TT TURBO (LARGER CALIPERS) 1999 >"
"2df60157-e247-4218-82ca-adf1143135fb","1990","isuzu","amigo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AMIGO 1989-00"
"f036bc4f-aaaf-4d53-ae1a-b97e71d20c51","1991","isuzu","amigo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AMIGO 1989-00"
"63d12ae3-f448-4c80-bd11-cbcfca3d5f66","1992","isuzu","amigo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AMIGO 1989-00"
"fb8659bc-3114-4822-92fa-7b963103e89d","1993","isuzu","amigo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AMIGO 1989-00"
"c0c9482a-92dd-445a-bf8f-a8c9b8db32e2","1994","isuzu","amigo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AMIGO 1989-00"
"c4c6d25f-aef8-4941-a5fc-39624cc7e9eb","1998","isuzu","amigo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AMIGO 1989-00"
"8d063d91-bdef-41e8-ba03-8b9d52c78a18","1999","isuzu","amigo","Base","90s-research-batch","tight","6x139.7","6x139.7","agree","100.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AMIGO 1989-00"
"67da14a1-5173-45f5-ad25-9e0d3f7f7403","2002","isuzu","axiom","Base","api_import","tight","5x114.3","6x139.7","disagree","71.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AXIOM 2002 >"
"8e8aa57d-f5b2-4a7d-9aa9-73420be4b460","2003","isuzu","axiom","Base","api_import","tight","5x114.3","6x139.7","disagree","71.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AXIOM 2002 >"
"ddd6db83-b65a-4407-af7e-37824df5b793","2004","isuzu","axiom","Base","api_import","tight","5x114.3","6x139.7","disagree","71.5","108","disagree","M12x1.5","M12x1.5","agree","ISUZU AXIOM 2002 >"
