id,year,make,model,display_trim,raw_trim,modification_id,bolt_pattern,center_bore_mm,thread_size,offset_min_mm,offset_max_mm,oem_wheel_sizes,oem_tire_sizes,source,quality_tier,created_at,missing_fields
81c39b8b-3d26-41d7-9374-b35349a743bf,2018,Ford,F-350 Super Duty,Lariat 4x4 (DRW) w/Snow Plow Pkg.,Lariat 4x4 (DRW) w/Snow Plow Pkg.,a7df28a50a7cf5cf,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
2b45e3db-5125-4a4e-bbae-c366fca2c34e,2018,Ford,F-350 Super Duty,Platinum (DRW),Platinum (DRW),a6258806e7b027d3,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
ff312564-1692-4982-a4d8-30eceee9c2d5,2018,Ford,F-350 Super Duty,XL 4x2 (DRW),XL 4x2 (DRW),d06df270e22a25a4,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
374dc1bc-c203-424e-9205-f4a20b4c5d0c,2018,Ford,F-350 Super Duty,XL 4x4 (DRW),XL 4x4 (DRW),9f21ce9cb8b4d598,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
d0ef0093-0549-4dee-b095-5685bc172ef4,2018,Ford,F-350 Super Duty,XL 4x4 (DRW) w/Snow Plow Pkg.,XL 4x4 (DRW) w/Snow Plow Pkg.,d98991485503e60b,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
3a107432-c386-4cc0-a7cd-2bcd8bf06df6,2018,Ford,F-350 Super Duty,XLT 4x2 (DRW),XLT 4x2 (DRW),cbfd059c0d7c9847,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
f1570e85-99ec-4b62-978e-71a86d93056c,2018,Ford,F-350 Super Duty,XLT 4x4 (DRW),XLT 4x4 (DRW),dba847db87f9f7f4,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
88f730bb-fa2c-4ded-8600-212cfb5f4649,2018,Ford,F-350 Super Duty,XLT 4x4 (DRW) w/Snow Plow Pkg.,XLT 4x4 (DRW) w/Snow Plow Pkg.,7699eec257b73ac4,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
93ab84d4-27e0-46e0-8990-7fc2221e7a7d,2018,Ford,GT,Base Front Base,Base Front Base,e3546050e15d72c1,5x114.3,,M14x1.50,,,"[""8.5x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
79b99bd0-38ac-4600-a0c5-117a25af1b0b,2018,Ford,GT,Base Rear Base,Base Rear Base,7f5a2d3a8004ec97,5x114.3,,M14x1.50,,,"[""11.5x20""]","{""rear"":[""325/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
d22815ac-e792-4195-b034-a97963ef7214,2018,Lamborghini,Aventador,LP740-4 S (Center Lock) Front LP740-4 S (Center Lock),LP740-4 S (Center Lock) Front LP740-4 S (Center Lock),7dc32fb898ae7cf8,,57.0,,32.00,32.00,"[""9x20""]","{""rear"":[],""front"":[""255/30ZR20""]}",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern
ce56838b-717d-49eb-b97f-d3860a4c468f,2018,Lamborghini,Aventador,LP740-4 S (Center Lock) Rear LP740-4 S (Center Lock),LP740-4 S (Center Lock) Rear LP740-4 S (Center Lock),782bc5a16b66867a,,70.0,,67.00,67.00,"[""13x21""]","{""rear"":[""355/25ZR21""],""front"":[]}",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern
9f17faae-f31c-4b2e-9d3e-3b76339ba1f0,2018,Lamborghini,Huracan,Performante (Center Lock) Front Performante (Center Lock),Performante (Center Lock) Front Performante (Center Lock),400a32032aaae388,,57.0,M14x1.50B,42.00,42.00,"[""8.5x20""]","{""rear"":[],""front"":[""245/30ZR20""]}",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern
17f9a270-df97-46b5-b045-a2858db4ff4e,2018,Lamborghini,Huracan,Performante (Center Lock) Rear Performante (Center Lock),Performante (Center Lock) Rear Performante (Center Lock),550ae62d3c985600,,66.0,M14x1.50B,40.00,40.00,"[""11x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern
a541f9be-c1b5-4398-81e4-17372d454ae8,2018,Lotus,Evora,Sport 410 Front Sport 410,Sport 410 Front Sport 410,2355304e22eed0d1,,,,,,"[""19""]","{""rear"":[],""front"":[""235/35ZR19""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
d74a5a6a-b88e-4182-94ae-1d979d5af32c,2018,Lotus,Evora,Sport 410 Rear Sport 410,Sport 410 Rear Sport 410,d1663bf74211d242,,,,,,"[""20""]","{""rear"":[""285/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
2a986a90-b350-4108-be32-c061544804b8,2018,Porsche,911,Carrera 4 GTS (Center Lock) Front Carrera 4 GTS (Center Lock),Carrera 4 GTS (Center Lock) Front Carrera 4 GTS (Center Lock),bb3e4eec03ffcaf9,,,,51.00,51.00,"[""9x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
1b7f93e9-d447-4834-a922-c908574ba315,2018,Porsche,911,Carrera 4 GTS (Center Lock) Rear Carrera 4 GTS (Center Lock),Carrera 4 GTS (Center Lock) Rear Carrera 4 GTS (Center Lock),5df7a63b0be616fe,,,,63.00,63.00,"[""12x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
dc688a7f-d86e-47bd-a5d0-f22afda38096,2018,Porsche,911,Carrera GTS (Center Lock) Front Carrera GTS (Center Lock),Carrera GTS (Center Lock) Front Carrera GTS (Center Lock),475be7fe7c68f953,,,,51.00,51.00,"[""9x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
5de686f9-fb13-4524-90f2-0f975fb32417,2018,Porsche,911,Carrera GTS (Center Lock) Rear Carrera GTS (Center Lock),Carrera GTS (Center Lock) Rear Carrera GTS (Center Lock),99bac494e414ce0f,,,,63.00,63.00,"[""12x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
4c59c587-11b4-4736-961c-949c496b4870,2018,Porsche,911,GT2 RS Front GT2 RS,GT2 RS Front GT2 RS,5689e5274484c5d4,,,,50.00,50.00,"[""9.5x20""]","{""rear"":[],""front"":[""265/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",bolt_pattern;center_bore_mm
