id,year,make,model,display_trim,raw_trim,modification_id,bolt_pattern,center_bore_mm,thread_size,offset_min_mm,offset_max_mm,oem_wheel_sizes,oem_tire_sizes,source,quality_tier,created_at,canonical_make
02324bea-b998-4291-8de3-3cddcc15fcc8,2018,Smart,Fortwo,Electric Drive Front Electric Drive,Electric Drive Front Electric Drive,bef7f85abae0f639,4x100,60.1,M12x1.50B,23.50,23.50,"[""4.5x15""]","{""rear"":[],""front"":[""165/65R15""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",smart
e14bf248-2d9e-4bf6-b0da-bce0df618479,2018,Smart,Fortwo,Electric Drive Rear Electric Drive,Electric Drive Rear Electric Drive,1483b5822efa5ce8,4x100,60.1,M12x1.50B,22.00,22.00,"[""5.5x15""]","{""rear"":[""185/60R15""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",smart
07236715-51c0-4d4c-8f64-2bfaecf3a096,2018,Smart,Fortwo,Electric Drive w/Sport Pkg. Front Electric Drive w/Sport Pkg.,Electric Drive w/Sport Pkg. Front Electric Drive w/Sport Pkg.,1ee5aead41aa3c06,4x100,60.1,M12x1.50B,44.00,44.00,"[""6x16""]","{""rear"":[],""front"":[""185/50R16""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",smart
cae45bec-d0e5-40ac-955f-8309d7d73022,2018,Smart,Fortwo,Electric Drive w/Sport Pkg. Rear Electric Drive w/Sport Pkg.,Electric Drive w/Sport Pkg. Rear Electric Drive w/Sport Pkg.,a2c12689b14f52fc,4x100,60.1,M12x1.50B,40.00,40.00,"[""6.5x16""]","{""rear"":[""205/45R16""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",smart
