id,year,make,model,display_trim,bolt_pattern,center_bore_mm,source,quality_tier
16374ad1-6f0a-4779-9a8a-937e1932d404,2018,Ford,F-350 Super Duty,Lariat 4x2 (DRW),8x200,,tgp_solutions,unknown
a4445559-3fdb-48a2-89a7-2c184a40a0f1,2018,Ford,F-350 Super Duty,Lariat 4x4 (DRW),8x200,,tgp_solutions,unknown
81c39b8b-3d26-41d7-9374-b35349a743bf,2018,Ford,F-350 Super Duty,Lariat 4x4 (DRW) w/Snow Plow Pkg.,8x200,,tgp_solutions,unknown
b046f423-aae7-4d4d-8f8e-d3034a531a9d,2018,Ford,F-350 Super Duty,King Ranch 4x2 (DRW),8x200,,tgp_solutions,unknown
b8e56c3c-a5f5-456c-b9d5-61426f16f711,2018,Ford,F-350 Super Duty,King Ranch 4x4 (DRW),8x200,,tgp_solutions,unknown
480f6649-4f78-4128-a2b1-fb1c71956c28,2018,Ford,F-350 Super Duty,King Ranch 4x4 (DRW) w/Snow Plow Pkg.,8x200,,tgp_solutions,unknown
2b45e3db-5125-4a4e-bbae-c366fca2c34e,2018,Ford,F-350 Super Duty,Platinum (DRW),8x200,,tgp_solutions,unknown
ff312564-1692-4982-a4d8-30eceee9c2d5,2018,Ford,F-350 Super Duty,XL 4x2 (DRW),8x200,,tgp_solutions,unknown
374dc1bc-c203-424e-9205-f4a20b4c5d0c,2018,Ford,F-350 Super Duty,XL 4x4 (DRW),8x200,,tgp_solutions,unknown
88f730bb-fa2c-4ded-8600-212cfb5f4649,2018,Ford,F-350 Super Duty,XLT 4x4 (DRW) w/Snow Plow Pkg.,8x200,,tgp_solutions,unknown
63673580-57e6-471e-b342-25628ed3f133,2018,Ford,GT,Base,5x114.3,,merged-staggered,unknown
79b99bd0-38ac-4600-a0c5-117a25af1b0b,2018,Ford,GT,Base Rear Base,5x114.3,,deprecated-staggered-split,unknown
93ab84d4-27e0-46e0-8990-7fc2221e7a7d,2018,Ford,GT,Base Front Base,5x114.3,,deprecated-staggered-split,unknown
