make,our_model,epa_trim,n_years,years,epa_model_example,our_trims_example
bmw,7-series,740e,1,2017,740e xDrive,"Base | 740i | 740i, 750i, M760i | Premium | 750i"
bmw,7-series,m760i,1,2019,M760i xDrive,740e | Premium
bmw,i3,with range extender,1,2018,i3 (94Ah) with Range Extender,Base | Range Extender
bmw,i3,i3s with range extender,1,2018,i3s (94Ah) with Range Extender,Base | Range Extender
bmw,i4,m60,1,2026,i4 M60 xDrive Gran Coupe (19 inch Wheels),Base | Premium
bmw,ix,xdrive45,1,2026,iX xDrive45 (20 inch Wheels),Base | Performance
bmw,ix,xdrive60,1,2026,iX xDrive60 (20 inch Wheels),Base | Performance
bmw,ix,m70,1,2026,iX M70 (21 inch Wheels),Base | Performance
bmw,m3,m3 cs,1,2018,M3 CS,Base
bmw,m4,m440i,1,2022,M440i Coupe,Competition | Competition xDrive | CS
bmw,x3,3 0i,1,2007,X3 3.0i,Base | Standard
bmw,x3,m50i,1,2025,X3 M50i xDrive,Base | xDrive30i | sDrive30i | xDrive30e | X3 M Competition
bmw,x3,m50,1,2026,X3 M50,Base | xDrive30i
bmw,x4,xdrive30i,1,2019,X4 xDrive30i,"xDrive28i | Sport | xDrive28i, xDrive35i, M40i | xDrive35i | M40i"
bmw,x5-m,sdrive40i,1,2026,X5 sDrive40i,Base | xDrive50e
bmw,x5-m,xdrive40i,1,2026,X5 xDrive40i,Base | xDrive50e
bmw,x5-m,m competition,1,2026,X5 M Competition,Base | xDrive50e
bmw,x6,sdrive35i,1,2017,X6 sDrive35i,"xDrive35i, xDrive50i | Sport | xDrive50i | Luxury | xDrive35i"
chevrolet,corvette,zr1x,1,2026,Corvette ZR1X,Stingray 3LT | Stingray | Z06 1LZ | Z06 | Stingray 2LT
chevrolet,cruze,limited,1,2016,Cruze Limited,LS | LT | LTZ | Eco
chevrolet,impala,eassist,1,2014,Impala eAssist,"LS, LT, Premier | Base | Standard | LT | LS"
chevrolet,malibu,limited,1,2016,Malibu Limited,LT | Standard | Premier | RS | LS
chevrolet,silverado-1500,15,1,2016,Silverado 15 Hybrid 2WD,"LTZ | LT | Base | WT | LTZ, High Country"
chevrolet,silverado-1500,trailboss,1,2021,Silverado 4WD TrailBoss,Base | WT | RST | High Country | 2.7T
chevrolet,silverado-1500,8wt,1,2025,Silverado EV 8WT,LTZ | High Country | ZR2 | Trail Boss | 2.7 TurboMax
chevrolet,silverado-1500,5wt,1,2025,Silverado EV 5WT (11 kW Charger),LTZ | High Country | ZR2 | Trail Boss | 2.7 TurboMax
chevrolet,silverado-1500,2wt,1,2025,Silverado EV 2WT,LTZ | High Country | ZR2 | Trail Boss | 2.7 TurboMax
chevrolet,silverado-2500hd,classic 1500,1,2007,Silverado Classic 1500 2WD,Base | LT | WT | Z71 | LTZ
chevrolet,silverado-2500hd,classic 15,1,2007,Silverado Classic 15 Hybrid 2WD,Base | LT | WT | Z71 | LTZ
chevrolet,silverado-2500hd,ld,1,2019,Silverado LD C15 2WD,Base | High Country | WT | Z71 | LT
chevrolet,silverado-2500hd,mud terrain tires 4m,1,2026,Silverado Mud Terrain Tires 4WD 4M,Custom | WT | Base | High Country | ZR2
chevrolet,silverado-2500hd,4m,1,2026,Silverado 4WD 4M,Custom | WT | Base | High Country | ZR2
chevrolet,silverado-2500hd,m6,1,2026,Silverado (with Sport Mode) 4WD M6,Custom | WT | Base | High Country | ZR2
chevrolet,silverado-2500hd,ext range wt,1,2026,Silverado EV Ext Range WT,Custom | WT | Base | High Country | ZR2
chevrolet,silverado-2500hd,max range wt,1,2026,Silverado EV Max Range WT (19kW Charger),Custom | WT | Base | High Country | ZR2
chevrolet,silverado-2500hd,ext range,1,2026,Silverado EV Ext Range (11kW Charger),Custom | WT | Base | High Country | ZR2
chevrolet,silverado-2500hd,range wt,1,2026,Silverado EV Std Range WT (11kW Charger),Custom | WT | Base | High Country | ZR2
chevrolet,silverado-2500hd,range,1,2026,Silverado EV Std Range (11kW Charger),Custom | WT | Base | High Country | ZR2
chevrolet,silverado-3500hd,ss 1500,1,2003,Silverado SS 1500 AWD,Base | LS
chevrolet,sonic,5,1,2018,Sonic 5,LS | LT w/RS Pkg. | LT Sedan | Premier | LT Hatchback
