make,our_model,epa_trim,n_years,years,epa_model_example,our_trims_example
lucid,air,g xr with19 inch wheels,1,2024,Air G Touring XR AWD with19 inch wheels,Grand Touring | Standard | Sapphire | Pure | Touring
lucid,air,with 21inch wheels,1,2024,Air Touring AWD with 21inch wheels,Grand Touring | Standard | Sapphire | Pure | Touring
mazda,cx-70,boost low power,1,2026,CX-70 Hybrid Boost Low Power 4WD,Base | Sport
mazda,cx-70,boost high power,1,2026,CX-70 Hybrid Boost High Power 4WD,Base | Sport
mazda,cx-70,sc,1,2026,CX-70 SC 4WD,Base | Sport
mazda,mazda5,5 door,1,2015,3 5-Door,Sport | LS | Touring | Grand Touring
mclaren,720s,lm,1,2021,720S Coupe LM,720S Coupe/Spider | Sport
mercedesbenz,amg-gt,63 s e performance,1,2025,AMG GT 63 S E Performance (coupe),AMG GT R | Sport | AMG GT R Pro | AMG GT | AMG GT S
mercedesbenz,c-class,c450 amg,1,2016,C450 AMG,C350 | C 300 | AMG C 63 S | LS | C300 Sport
mercedesbenz,c-class-amg,c250,1,2015,C250 Coupe,Base | Premium
mercedesbenz,cla-class-amg,amg cla45 s,1,2026,AMG CLA45 S 4matic,Base | Premium
mercedesbenz,cla-class-amg,cla250 plus with eq tech,1,2026,CLA250 Plus with EQ Tech,Base | Premium
mercedesbenz,cla-class-amg,cla350 with eq tech,1,2026,CLA350 4matic with EQ Tech,Base | Premium
mercedesbenz,cls,amg cls53 plus,1,2021,AMG CLS53 4matic Plus,CLS450 4MATIC | Sport | CLS450 | AMG CLS53 | Luxury
mercedesbenz,cls-class-amg,cls500,1,2006,CLS500,Base | S 500 | Sport
mercedesbenz,cls-class-amg,cls55 amg,1,2006,CLS55 AMG,Base | S 500 | Sport
mercedesbenz,e-class,amg e43,1,2017,AMG E43 4matic,AMG E 63 S | E 63 S AMG | Standard | E300 | E53 AMG
mercedesbenz,e-class,e450 all terrain,1,2026,E450 4matic All-Terrain (wagon),E350 | Premium | E63 AMG | Luxury | E300
mercedesbenz,e-class,amg e53 plus,1,2026,AMG E53 Hybrid 4matic Plus,E350 | Premium | E63 AMG | Luxury | E300
mercedesbenz,e-class-cabriolet,e450 all terrain,1,2022,E450 4matic All-Terrain (wagon),Base | E 350 | LS
mercedesbenz,eqe,320 plus,1,2026,EQE 320 Plus,EQE350+ | Sport | Base | EQE500 4MATIC | Luxury
mercedesbenz,eqe,320,1,2026,EQE 320 4matic,EQE350+ | Sport | Base | EQE500 4MATIC | Luxury
mercedesbenz,eqs,400,1,2026,EQS 400 4matic (SUV),Base | Performance | AMG EQS53 | Flagship | Luxury
mercedesbenz,eqs,550,1,2026,EQS 550 4matic (SUV),Base | Performance | AMG EQS53 | Flagship | Luxury
mercedesbenz,g-class,g55 amg,1,2011,G55 AMG,Base | Premium | AMG CLA 35
mercedesbenz,g-class,amg g63 squared,1,2024,AMG G63 4x4 Squared,Base | Premium | AMG G63 | AMG CLA 45 | G550
mercedesbenz,g-class-amg,amg g 63 squared,1,2023,AMG G 63 4x4 Squared,Base | AMG CLA 45 | Luxury
mercedesbenz,glc,amg glc63 plus,1,2020,AMG GLC63 4matic Plus,AMG GLC 43 4MATIC | AMG GLC 43 | Standard | Base | AMG GLC43
mercedesbenz,glc,amg glc63 s plus,1,2020,AMG GLC63 S 4matic Plus Coupe,AMG GLC 43 4MATIC | AMG GLC 43 | Standard | Base | AMG GLC43
mercedesbenz,glc-class,amg glc63 plus,1,2021,AMG GLC63 4matic Plus,GLC 300 | C 300
mercedesbenz,glc-class,amg glc63 s plus,1,2021,AMG GLC63 S 4matic Plus Coupe,GLC 300 | C 300
mercedesbenz,glc-class-coupe,glc350e with eq tech,1,2025,GLC350e 4matic with EQ Hybrid Tech,Base | Premium
mercedesbenz,gle,gle350 d,1,2016,GLE350 d 4matic,GLE43 AMG | GLE 450 | GLE 350d 4MATIC | GLE 350d | Premium
mercedesbenz,gle,gle450 amg,1,2016,GLE450 AMG Coupe,GLE43 AMG | GLE 450 | GLE 350d 4MATIC | GLE 350d | Premium
mercedesbenz,gle,gle300 d,1,2016,GLE300 d 4matic,GLE43 AMG | GLE 450 | GLE 350d 4MATIC | GLE 350d | Premium
mercedesbenz,gle,gle450e,1,2025,GLE450e 4matic,Base | Premium | GLE 53 AMG | Standard | GLE 63 AMG
mercedesbenz,m-class,ml550,1,2009,ML550 4matic,Base | Premium | CLA 250 AMG Line
mercedesbenz,m-class,ml500,1,2004,ML500,Base | Premium
mercedesbenz,m-class,ml63 amg,1,2009,ML63 AMG,Base | Premium | CLA 250 AMG Line
mercedesbenz,m-class-amg,ml55,1,2000,ML55,Base | Performance | Luxury
mercedesbenz,m-class-amg,ml400,1,2015,ML400 4matic,Base | Performance | Luxury
mercedesbenz,m-class-amg,ml250 bluetec,1,2015,ML250 Bluetec 4matic,Base | Performance | Luxury
mercedesbenz,s-class,s430,1,2004,S430,"Base | Standard | S580 | S 500 | S500, S550, S580, S63 AMG, Maybach"
mercedesbenz,s-class,s600,1,2004,S600,"Base | Standard | S580 | S 500 | S500, S550, S580, S63 AMG, Maybach"
mercedesbenz,s-class-amg,s350,1,2006,S350,Base | S 580 | Premium
mercedesbenz,s-class-amg,s550e,1,2015,S550e,Base | S 580 | Premium
mercedesbenz,s-class-amg,s560,1,2021,S560 Convertible,Base | S 580 | Premium
mercedesbenz,s-class-amg,amg s63 plus,1,2021,AMG S63 4matic Plus Convertible,Base | S 580 | Premium
mercedesbenz,s-class-coupe,s 600,1,2016,Maybach S 600,Base | S 500 | Premium
mercedesbenz,s-class-coupe,s650,1,2017,Maybach S650 Convertible,Base | S 500 | Premium
mercedesbenz,s-class-coupe,amg s63 plus,1,2020,AMG S63 4matic Plus Convertible,Base | S 500 | Premium
mercedesbenz,sl-class,sl55 amg,1,2005,SL55 AMG,Base | AMG CLA 35 | Premium
mercedesbenz,sl-class,sl65 amg,1,2005,SL65 AMG,Base | AMG CLA 35 | Premium
mercedesbenz,sl-class,sl680 maybach,1,2026,SL680 Maybach,AMG SL55 | AMG CLA 45 | AMG SL63 | Performance | AMG SL43
mercedesbenz,sl-class-amg,amg sl63 s e performance,1,2025,AMG SL63 S E Performance,Base | AMG CLA 35 | Premium
mercedesbenz,slk-class,slk320,1,2001,SLK320,Base | LS | CLA 250
mercedesbenz,slk-class,slk280,1,2007,SLK280,Base | CLA 250 | LS
mercedesbenz,slk-class,slk350,1,2007,SLK350,Base | CLA 250 | LS
mercedesbenz,slk-class,slk55 amg,1,2007,SLK55 AMG,Base | CLA 250 | LS
mercedesbenz,slk-class-amg,slk230,1,2004,SLK230,Base | CLA 250 AMG Line | Premium
mercedesbenz,slk-class-amg,amg slk55,1,2016,AMG SLK55,Base | CLA 250 AMG Line | Premium
mini,cooper,s jcworks gp kit,1,2006,Cooper S JCWorks GP Kit,"Classic, Signature, Iconic, S, John Cooper Works | Base | Classic | S | Signature"
mini,cooper,clubvan,1,2013,Cooper Clubvan,"S | Classic | Classic, Signature, Iconic, S, John Cooper Works | Base | Signature"
mini,cooper,gp 2,1,2013,John Cooper Works GP-2,"S | Classic | Classic, Signature, Iconic, S, John Cooper Works | Base | Signature"
mini,cooper,gp,1,2021,John Cooper Works GP,"Classic, Signature, Iconic, S, John Cooper Works | Base | Classic | John Cooper Works | Iconic"
mini,cooper,c,1,2026,Cooper C Convertible,"Signature | Classic | S | Classic, Signature, Iconic, S, John Cooper Works | Base"
mini,cooper-countryman,jcw,1,2018,JCW Countryman All4,S | S ALL4 | S E ALL4 | Base | ALL4
mini,cooper-countryman,cooper se,1,2018,Cooper SE Countryman All4,S | S ALL4 | S E ALL4 | Base | ALL4
mini,countryman,jcw countryman,1,2023,JCW Countryman All4,John Cooper Works | Standard | S | Classic | Signature
mini,countryman,cooper se,1,2023,Cooper SE Countryman All4,John Cooper Works | Standard | S | Classic | Signature
mini,roadster,clubvan,1,2014,Cooper Clubvan,Base | LS
nissan,kicks,play,1,2025,Kicks Play,Base | LS
nissan,leaf,75kwh,1,2026,LEAF 75kWh (18 inch alloy Wheels),"S | LS | S, SV, SL Plus | Base | SL Plus"
nissan,pathfinder,armada,1,2004,Pathfinder Armada 2WD,"S | Standard | SL | S, SV, SL, Platinum | SV"
nissan,rogue,sport,1,2017,Rogue Sport FWD,"S, SV, SL, Platinum | S | SV | SL | Platinum"
nissan,sentra,sl sr,1,2026,Sentra SL/SR,"S, SV, SR | S | SV | SR"
nissan,titan,fe,1,2009,Titan FE 2WD,"Pro-4X | SV | LE | SL | S, SV, SL, Platinum Reserve, PRO-4X"
nissan,versa,fe,1,2009,Versa FE,"S, SV, SR | Standard | S | SV | SR"
polestar,polestar-2,bst edition,1,2023,2 BST edition,Base | Sport
polestar,polestar-2,dual motor perf pack,1,2023,2 Dual Motor Perf Pack,Base | Sport
porsche,718,gt4 rs,1,2023,718 GT4 RS,Base | Sport
porsche,718,cayman,1,2023,718 Cayman,Base | Sport
porsche,718,cayman s,1,2023,718 Cayman S,Base | Sport
porsche,718,boxster t,1,2023,718 Boxster T,Base | Sport
porsche,718,cayman t,1,2023,718 Cayman T,Base | Sport
porsche,718,cayman gts,1,2023,718 Cayman GTS,Base | Sport
porsche,718,cayman gt4,1,2023,718 Cayman GT4,Base | Sport
porsche,911,carrera 2 4,1,2001,911 Carrera 2/4,"Carrera | Carrera S | GT3 RS | Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base"
porsche,911,targa,1,2002,911 Targa,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Carrera 4S | GT3"
porsche,911,c4 gts,1,2012,911 C4 GTS,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Carrera S | Carrera 4S"
porsche,911,r,1,2016,911 R,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Carrera S | Carrera 4S"
porsche,911,s exclusive,1,2019,911 Turbo S Exclusive Cabriolet,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Carrera S | Carrera 4S"
porsche,911,sport classic,1,2023,911 Sport Classic,"Carrera, Carrera S, Carrera 4S, Turbo, Turbo S, GT3, GT3 RS | Base | Carrera | Carrera S | Carrera 4S"
porsche,911,s t,1,2024,911 S/T,Carrera S | Carrera | Carrera 4S | Turbo | Turbo S
porsche,boxster,r,1,2012,Cayman R,"Base, S, GTS, Spyder | Base | Standard | GTS | S"
porsche,boxster,t,1,2020,Boxster T,"Spyder | Standard | Base, S, GTS, Spyder | Base | S"
porsche,cayenne,transsiberia,1,2010,Cayenne TransSiberia,"Base, S, E-Hybrid, GTS, Turbo, Turbo S | Base | Standard | S | E-Hybrid"
porsche,cayenne,kit,1,2010,Cayenne Turbo Kit,"Base, S, E-Hybrid, GTS, Turbo, Turbo S | Base | Standard | S | E-Hybrid"
porsche,cayenne,platinum,1,2017,Cayenne Platinum,"Base, S, E-Hybrid, GTS, Turbo, Turbo S | Base | Premium | S | E-Hybrid"
porsche,cayman,gt4,1,2016,Cayman GT4,Base | Sport
porsche,macan,20in wheels,1,2026,Macan Electric 20in Wheels,"Base | S | GTS | Turbo | Base, S, GTS, Turbo"
porsche,macan,4 20in wheels,1,2026,Macan 4 Electric 20in Wheels,"Base | S | GTS | Turbo | Base, S, GTS, Turbo"
porsche,panamera,exec,1,2020,Panamera Turbo Exec,"GTS | Panamera | Turbo S | Turbo | Base, 4, 4S, GTS, Turbo, Turbo S"
porsche,panamera,4s e executive,1,2021,Panamera 4S e-Hybrid Executive,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | 4 | 4S"
porsche,panamera,4s e st,1,2021,Panamera 4S e-Hybrid ST,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | 4 | 4S"
porsche,panamera,s exec st,1,2022,Panamera Turbo S/Exec/ST,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | GTS | Turbo S"
porsche,panamera,4 e exec st,1,2022,Panamera 4 E-Hybrid/Exec/ST,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | GTS | Turbo S"
porsche,panamera,4s e exec st,1,2022,Panamera 4S E-Hybrid/Exec/ST,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | GTS | Turbo S"
porsche,panamera,s e exec st,1,2022,Panamera Turbo S E-Hybrid/Exec/ST,"Base, 4, 4S, GTS, Turbo, Turbo S | Base | Panamera | GTS | Turbo S"
porsche,taycan,gts st,1,2022,Taycan GTS ST,Taycan 4 | Taycan
porsche,taycan,4s performance battery plus,1,2024,Taycan 4S Performance Battery Plus,Taycan 4 | Taycan
porsche,taycan,performance battery plus,1,2024,Taycan Performance Battery Plus,Taycan 4 | Taycan
porsche,taycan,4s perf battery plus 19 inch wheels,1,2025,Taycan 4S Perf Battery Plus 19 inch Wheels,Base | Taycan
porsche,taycan,21in aero design wheel,1,2025,Taycan Turbo 21in Aero-Design wheel (285/35),Base | Taycan
porsche,taycan,gt,1,2025,Taycan Turbo GT,Base | Taycan
porsche,taycan,gt with weissach package,1,2025,Taycan Turbo GT with Weissach Package,Base | Taycan
porsche,taycan,s 21in aero design wheel,1,2025,Taycan Turbo S 21in Aero-Design wheel (285/35),Base | Taycan
porsche,taycan,4 perf battery plus,1,2025,Taycan 4 Perf Battery Plus,Base | Taycan
ram,1500,ho,1,2026,1500 HO 4WD,3.6 Pentastar | Big Horn | Laramie | Base | Tradesman
ram,1500,rho,1,2026,1500 RHO 4WD,3.6 Pentastar | Big Horn | Laramie | Base | Tradesman
ram,1500,warlock,1,2026,1500 Warlock 4WD,3.6 Pentastar | Big Horn | Laramie | Base | Tradesman
ram,1500-classic,ho,1,2025,1500 HO 4WD,Base | Tradesman
ram,1500-classic,rho,1,2025,1500 RHO 4WD,Base | Tradesman
ram,c/v,tradesman,1,2015,C/V Tradesman,Base | LS
rivian,r1s,20 inch all terrain,1,2023,R1S 20 inch All-Terrain,1st Gen | Adventure
rivian,r1s,20 inch all terrain dual large,1,2023,R1S 20 inch All-Terrain Dual Large,1st Gen | Adventure
rivian,r1s,20 inch all terrain performance dual large,1,2023,R1S 20 inch All-Terrain Performance Dual Large,1st Gen | Adventure
rivian,r1s,21 inch dual large,1,2023,R1S 21 inch Dual Large,1st Gen | Adventure
rivian,r1s,21 inch performance dual large,1,2023,R1S 21 inch Performance Dual Large,1st Gen | Adventure
rivian,r1s,22 inch dual large,1,2023,R1S 22 inch Dual Large,1st Gen | Adventure
rivian,r1s,22 inch performance dual large,1,2023,R1S 22 inch Performance Dual Large,1st Gen | Adventure
rivian,r1s,all terrain quad large,1,2024,R1S All-Terrain Quad Large (20 inch),1st Gen | Adventure
rivian,r1s,all terrain dual standard plus,1,2024,R1S All-Terrain Dual Standard Plus (20in),1st Gen | Adventure
rivian,r1s,at performance dual standard plus,1,2024,R1S AT Performance Dual Standard Plus (20in),1st Gen | Adventure
rivian,r1s,dual standard plus,1,2024,R1S Dual Standard Plus (21in),1st Gen | Adventure
rivian,r1s,performance dual standard,1,2024,R1S Performance Dual Standard (22in),1st Gen | Adventure
rivian,r1s,performance dual standard plus,1,2024,R1S Performance Dual Standard Plus (21in),1st Gen | Adventure
rivian,r1s,quad large,1,2024,R1S Quad Large (20in),1st Gen | Adventure
rivian,r1s,quad max,1,2026,R1S Quad Max (22in UHP),1st Gen | Adventure
rivian,r1t,21 inch dual large,1,2023,R1T 21 inch Dual Large,1st Gen | Adventure
rivian,r1t,21 inch performance dual large,1,2023,R1T 21 inch Performance Dual Large,1st Gen | Adventure
rivian,r1t,22 inch dual large,1,2023,R1T 22 inch Dual Large,1st Gen | Adventure
rivian,r1t,22 inch performance dual large,1,2023,R1T 22 inch Performance Dual Large,1st Gen | Adventure
rivian,r1t,all terrain dual standard plus,1,2024,R1T All-Terrain Dual Standard Plus (20in),1st Gen | Adventure
rivian,r1t,all terrain quad large,1,2024,R1T All-Terrain Quad Large (20in),1st Gen | Adventure
rivian,r1t,at performance dual standard plus,1,2024,R1T AT Performance Dual Standard Plus (20in),1st Gen | Adventure
rivian,r1t,dual standard plus,1,2024,R1T Dual Standard Plus (21in),1st Gen | Adventure
rivian,r1t,performance dual standard plus,1,2024,R1T Performance Dual Standard Plus (21in),1st Gen | Adventure
rivian,r1t,quad large,1,2024,R1T Quad Large (20in),1st Gen | Adventure
rivian,r1t,quad max,1,2026,R1T Quad Max (22in UHP),1st Gen | Adventure
rollsroyce,phantom,drophead,1,2017,Phantom Drophead Coupe,8th Gen (VIII) | Flagship
saturn,l-series,l200,1,2003,L200,Base | Standard
subaru,solterra,20,1,2026,Solterra 20 AWD,Base | Premium
subaru,wrx,impreza outback spt,1,2005,Impreza Wagon/Outback SPT AWD,WRX STI | Premium | Base | LS | GT
subaru,wrx-sti,impreza 5 door,1,2017,Impreza 5-Door,Limited | Premium | Base | Launch Edition
subaru,wrx-sti,impreza sport 5 door,1,2017,Impreza Sport 5-Door,Limited | Premium | Base | Launch Edition
suzuki,sx4,sport anniversary edition,1,2011,SX4 Sport/Anniversary Edition,Base | LS
tesla,cybertruck,dual motor,1,2026,Cybertruck Dual Motor AWD,1st Gen | Luxury
tesla,model-3,long range e,1,2024,Model 3 Long Range AWD-E,Base | Standard Range | Highland (2nd Gen)
tesla,model-3,long range i,1,2025,Model 3 Long Range RWD-I (19in wheels),Base | Standard Range | Highland (2nd Gen)
tesla,model-3,premium,1,2026,Model 3 Premium AWD,Highland (2nd Gen) | Standard Range | Base
tesla,model-s,75kwh,1,2018,Model S 75kWh,100D | P100D | 100D w/Sport Pkg. | 75D w/Sport Pkg. | P100D w/Sport Pkg.
tesla,model-s,100d,1,2019,Model S 100D,Base | Long Range | 1st Gen
tesla,model-s,long range plus,1,2020,Model S Long Range Plus,Base | Long Range | 1st Gen | 100D
tesla,model-x,standard range,1,2020,Model X Standard Range,75D | Long Range | Base | 1st Gen
tesla,model-y,standard range,1,2021,Model Y Standard Range RWD,Base | Long Range | 1st Gen | 75
tesla,model-y,long range i,1,2024,Model Y Long Range AWD-I,Long Range | Base | 1st Gen
tesla,model-y,standard,1,2026,Model Y Standard RWD (18in Wheels),Juniper (2nd Gen) | Long Range | Base
toyota,avalon,trd,1,2021,Avalon TRD,XSE/Limited/Touring | Standard | XL/XLE
toyota,bz4x,woodland 235 60r18,1,2026,bZ Woodland AWD 235/60R18,Base | Premium
toyota,bz4x,woodland 235 65r18,1,2026,bZ Woodland AWD 235/65R18,Base | Premium
toyota,corolla,im,1,2017,Corolla iM,LE | L | SE | Standard | XSE
toyota,prius,se,1,2024,Prius Prime SE,"XLE | L Eco | LE | Limited | L Eco, LE, XLE, Limited"
toyota,prius-plug-in,c,1,2020,Prius c,Base | L Eco
toyota,rav4,soft top,1,2000,RAV4 Soft Top 2WD,L | 1st Gen (XA10) | Base | LE
toyota,tundra,trd perf,1,2026,Tundra 2WD TRD Perf,Limited | 3rd Gen (XK70) | SR5 | SR | Capstone
toyota,tundra,trd per,1,2026,Tundra Hybrid 4WD TRD Per,Limited | 3rd Gen (XK70) | SR5 | SR | Capstone
toyota,tundra,pro trd perf,1,2026,Tundra Hybrid 4WD PRO TRD Perf,Limited | 3rd Gen (XK70) | SR5 | SR | Capstone
toyota,yaris,ia,1,2017,Yaris iA,Base/LE/XLE | Standard
volkswagen,golf,golf alltrack,1,2019,Golf Alltrack,"S, SE, SEL | Base | Standard | S | SE"
volkswagen,gti,golf alltrack,1,2017,Golf Alltrack,"Autobahn | Standard | S | SE | S, SE, Autobahn"
volkswagen,id.4,1st,1,2021,ID.4 1st,"Pro | Sport | Standard, Pro, Pro S, AWD Pro, AWD Pro S | Base | Pro S"
volvo,ex30,cross country,1,2026,EX30 Cross Country (18 Inch Wheels),Base | Sport
volvo,ex40,b4,1,2026,XC40 B4,Base | Sport
volvo,s60,t8 ext range,1,2022,S60 T8 AWD Recharge ext. Range,"Momentum | Standard | R-Design | Momentum, R-Design, Inscription, Polestar Engineered | Inscription"
volvo,s80,s80 premier,1,2004,S80/S80 Premier,Base | Standard
volvo,v60,v60cc t5,1,2022,V60CC T5 AWD,Base | Standard
volvo,xc40,t4,1,2022,XC40 T4,B4 MHEV | Standard
volvo,xc40,t5,1,2022,XC40 T5 AWD,B4 MHEV | Standard
volvo,xc40,b4,1,2023,XC40 B4,Base | R-Design
volvo,xc60,t8 ext range,1,2022,XC60 T8 AWD Recharge ext. Range,"Inscription | Standard | Momentum | Polestar Engineered | Momentum, R-Design, Inscription, Polestar Engineered"
volvo,xc90,t5,1,2022,XC90 T5,R-Design | Premium | Momentum | Inscription | Polestar Engineered
volvo,xc90,t6,1,2022,XC90 T6 AWD,R-Design | Premium | Momentum | Inscription | Polestar Engineered
volvo,xc90,t8 ext range,1,2022,XC90 T8 AWD Recharge ext. Range,R-Design | Premium | Momentum | Inscription | Polestar Engineered
