make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
chevrolet,g10-van,1990-1995,6,6,0,0,0,
chevrolet,g20-van,1990-1995,6,6,0,0,0,
chevrolet,g30-van,1990-1995,6,6,0,0,0,
chevrolet,silverado-1500,1999-2026,173,28,0,0,0,
chevrolet,avalanche-1500,2002-2006,8,5,0,0,0,
chevrolet,suburban-1500,2000-2014,54,15,0,0,0,
chevrolet,blazer,1990-2005 2019-2026,77,24,0,0,0,
chevrolet,cavalier,1990-1999,10,10,0,0,0,
chevrolet,suburban,1990-1991 2000-2026,45,29,0,0,0,
chevrolet,k3500,1990-1999,10,10,0,0,0,
chevrolet,c3500,1990-1999,10,10,0,0,0,
chevrolet,monte-carlo,1995-2007,18,13,0,0,0,
chevrolet,equinox,2005-2026,110,22,0,0,0,
chevrolet,silverado-2500,2000-2017,25,18,0,0,0,
chevrolet,astro,1990-2005,29,16,0,0,0,
chevrolet,corvette,1990-2026,161,37,0,0,0,
chevrolet,avalanche-2500,2002-2006,10,5,0,0,0,
chevrolet,s-10,1991-1999,9,9,0,0,0,
chevrolet,traverse,2009-2026,109,18,0,0,0,
chevrolet,bolt-ev,2017-2023,11,7,0,0,0,
chevrolet,silverado,1999 2014-2017 2019-2026,13,13,0,0,0,
chevrolet,city-express,2018,2,1,0,0,0,
chevrolet,c/k-1500,1990-1998,36,9,0,0,0,
chevrolet,silverado-3500,2001-2010 2012-2017,24,16,0,0,0,
chevrolet,beretta,1990-1996,7,7,0,0,0,
chevrolet,impala,1994-1996 2000-2020,95,24,0,0,0,
chevrolet,s10,1990-1999,11,10,0,0,0,
chevrolet,caprice,1990-1996 2011-2017,14,14,0,0,0,
chevrolet,lumina,1990-2001,12,12,0,0,0,
chevrolet,trax,2013-2026,25,14,0,0,0,
chevrolet,k1500,1990-1999,10,10,0,0,0,
chevrolet,equinox-ev,2024,4,1,0,0,0,
chevrolet,blazer-ev,2024,3,1,0,0,0,
chevrolet,c2500,1990-1999,10,10,0,0,0,
chevrolet,corsica,1990-1996,7,7,0,0,0,
chevrolet,cruze,2011-2019,38,9,0,0,0,
chevrolet,avalanche,2007-2013,7,7,0,0,0,
chevrolet,c1500,1990-1999,10,10,0,0,0,
chevrolet,k2500,1990-1999,10,10,0,0,0,
chevrolet,tracker,1998-1999,2,2,0,0,0,
chevrolet,sonic,2018,5,1,0,0,0,
chrysler,town-&-country,1990-2016,72,27,0,0,0,
chrysler,new-yorker,1990-1996,7,7,0,0,0,
chrysler,pt-cruiser,2000-2010,21,11,0,0,0,
chrysler,300c,2005-2010,23,6,0,0,0,
chrysler,town-and-country,2000-2016,35,17,0,0,0,
chrysler,fifth-avenue,1990-1993,4,4,0,0,0,
chrysler,sebring,1995-2010,16,16,0,0,0,
chrysler,pacifica-minivan,2018,9,1,0,0,0,
chrysler,town-country,2000-2016,17,17,0,0,0,
chrysler,dynasty,1990-1993,4,4,0,0,0,
chrysler,concorde,1993-1999,7,7,0,0,0,
chrysler,lhs,1994-1997 1999,5,5,0,0,0,
