make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
mercedesbenz,slc43-amg,2018,1,0,1,0,0,
mercedesbenz,cl-class,2000-2014,15,15,0,0,0,
mercedesbenz,m-class,2000-2015,24,12,4,0,0,
mercedesbenz,slk-class,2000-2016,34,17,0,0,0,
mercedesbenz,glc300,2018,4,1,0,0,0,
mercedesbenz,190e,1990-1993,4,4,0,0,0,
mercedesbenz,glb,2020-2026,21,7,0,0,0,
mercedesbenz,g550-4x4,2018,1,1,0,0,0,
mercedesbenz,metris,2018,2,1,0,0,0,
mercedesbenz,glc-class,2021,1,1,0,0,0,
mercedesbenz,s450,2018,4,1,0,0,0,
mercedesbenz,c300,2018,6,1,0,0,0,
mercedesbenz,e400,2018,9,1,0,0,0,
mercedesbenz,e63-amg-s,2018,1,0,1,0,0,
mercedesbenz,glc350e,2018,1,1,0,0,0,
mercedesbenz,cla250,2018,4,1,0,0,0,
mercedesbenz,e300,2018,2,1,0,0,0,
mercedesbenz,gla250,2018,2,1,0,0,0,
mercedesbenz,gls450,2018,1,1,0,0,0,
mercedesbenz,gls550,2018,1,1,0,0,0,
mercedesbenz,g550,2018,1,1,0,0,0,
mercedesbenz,gle350,2018,2,1,0,0,0,
mercedesbenz,gle550e,2018,1,1,0,0,0,
mercedesbenz,c350e,2018,1,1,0,0,0,
mercedesbenz,sl550,2018,1,1,0,0,0,
mercedesbenz,cls550,2018,2,1,0,0,0,
mercedesbenz,s560,2018,4,1,0,0,0,
mercedesbenz,sl450,2018,1,1,0,0,0,
mercedesbenz,slc300,2018,1,1,0,0,0,
mercedesbenz,gle-class,2022,1,1,0,0,0,
mercury,grand-marquis,1990-2011,55,22,0,0,0,
mercury,mountaineer,1997-2010,14,14,0,0,0,
mercury,sable,1990-2005 2008-2009,18,18,0,0,0,
mercury,mariner,2005-2011,7,7,0,0,0,
mercury,milan,2006-2011,6,6,0,0,0,
mercury,cougar,1990 2000-2002,4,4,0,0,0,
mini,cooper,2002-2026,152,25,0,0,0,
mini,cooper-countryman,2018,6,1,0,0,0,
mini,cooper-clubman,2018,5,1,0,0,0,
mini,countryman,2011-2017 2019-2026,90,15,0,0,0,
mini,roadster,2012-2015,4,4,0,0,0,
mitsubishi,outlander,2003-2026,120,24,0,0,0,
mitsubishi,galant,1990-1993 2000-2012,95,17,0,0,0,
mitsubishi,lancer-evolution,2003-2006 2008-2015,48,12,0,0,0,
mitsubishi,lancer,2002-2017,112,16,0,0,0,
mitsubishi,outlander-sport,2018,4,1,0,0,0,
mitsubishi,outlander-phev,2018,2,1,0,0,0,
mitsubishi,mirage-g4,2018,2,1,0,0,0,
mitsubishi,eclipse,1990-2012,115,23,0,0,0,
mitsubishi,diamante,2000-2004,5,5,0,0,0,
mitsubishi,eclipse-spider,2004-2006,3,3,0,0,0,
mitsubishi,3000gt,1991-1999,9,9,0,0,0,
nissan,armada,2004-2015 2017-2026,109,22,0,0,0,
nissan,z,2023-2026,16,4,0,0,0,
nissan,pathfinder,1990-1995 2000-2026,140,33,0,0,0,
nissan,altima,1993-1997 2000-2026,166,32,0,0,0,
nissan,370z,2009-2020,42,12,0,0,0,
nissan,leaf,2011-2026,63,16,0,0,0,
nissan,rogue,2008-2026,99,19,0,0,0,
nissan,versa-note,2018,3,1,0,0,0,
nissan,xterra,2000-2015,96,16,0,0,0,
nissan,titan-xd,2016-2024,37,9,0,0,0,
nissan,300zx,1990-1996,7,7,0,0,0,
nissan,quest,1993-2009 2011-2017,24,24,0,0,0,
nissan,sentra,1990-1994 2000-2026,115,32,0,0,0,
nissan,kicks,2018-2026,11,9,0,0,0,
nissan,rogue-sport,2018,3,1,0,0,0,
nissan,nv200,2018,3,1,0,0,0,
nissan,nv1500,2018,2,1,0,0,0,
nissan,frontier,1998-1999 2018 2020-2025,20,9,0,0,0,
nissan,240sx,1990-1998,9,9,0,0,0,
nissan,pickup,1990-1997,8,8,0,0,0,
nissan,nv2500,2018,3,1,0,0,0,
nissan,nv3500,2018,6,1,0,0,0,
oldsmobile,cutlass-ciera,1990-1996,7,7,0,0,0,
oldsmobile,cutlass-supreme,1990-1997,8,8,0,0,0,
oldsmobile,bravada,1995 2000-2004,6,6,0,0,0,
oldsmobile,88,1990-1999,10,10,0,0,0,
oldsmobile,98,1990-1996,7,7,0,0,0,
oldsmobile,silhouette,1990-1999,10,10,0,0,0,
oldsmobile,cutlass,1990-1999,10,10,0,0,0,
oldsmobile,intrigue,1998-2002,5,5,0,0,0,
oldsmobile,aurora,1995-1999,5,5,0,0,0,
oldsmobile,alero,1999-2004,6,6,0,0,0,
plymouth,grand-voyager,1990-1999,10,10,0,0,0,
plymouth,voyager,1990-2000,11,11,0,0,0,
plymouth,acclaim,1990-1995,6,6,0,0,0,
plymouth,laser,1990-1994,5,5,0,0,0,
plymouth,sundance,1990-1994,5,5,0,0,0,
plymouth,neon,1995-1999,5,5,0,0,0,
plymouth,breeze,1997-1999,3,3,0,0,0,
polestar,polestar-2,2020-2026,7,6,1,0,0,
polestar,polestar-1,2020-2021,2,2,0,0,0,
pontiac,grand-am,1990-2005,18,16,0,0,0,
pontiac,trans-am,1990-1999,17,10,0,0,0,
pontiac,grand-prix,1990-2008,31,19,0,0,0,
pontiac,bonneville,1990 2000-2005,7,7,0,0,0,
pontiac,firebird,1990-2002,16,13,0,0,0,
pontiac,g8,2008-2009,2,2,0,0,0,
pontiac,g6,2005-2010,6,6,0,0,0,
pontiac,solstice,2006-2010,5,5,0,0,0,
pontiac,gto,2004-2006,3,3,0,0,0,
pontiac,sunfire,1995-1999,10,5,0,0,0,
porsche,928,1990-1995,6,6,0,0,0,
porsche,944,1990-1991,2,2,0,0,0,
porsche,968,1992-1995,4,4,0,0,0,
porsche,taycan,2020-2025,6,6,0,0,0,
porsche,panamera,2010-2026,128,17,0,0,0,
porsche,718-cayman,2018,3,1,0,0,0,
porsche,718-boxster,2018,3,1,0,0,0,
porsche,911,1990-2026,246,37,0,0,0,
porsche,718,2017 2019-2025,8,8,0,0,0,
porsche,cayman,2005-2016,12,12,0,0,0,
ram,1500-classic,2019-2025,13,7,0,0,0,
ram,3500,1994-2026,332,15,0,18,0,
ram,ram-3500,2018,18,1,0,0,0,
ram,ram-1500,2018,12,1,0,0,0,
ram,1500-trx,2021-2025,5,5,0,0,0,
ram,ram-2500,2018,7,1,0,0,0,
ram,1500,2000-2026,210,14,0,13,0,
ram,2500,1994-2026,312,14,0,19,0,
ram,promaster-city,2018,6,1,0,0,0,
ram,promaster-2500,2018,1,1,0,0,0,
ram,promaster-3500,2018,1,1,0,0,0,
ram,promaster,2020-2026,21,7,0,0,0,
rivian,r1s,2022-2026,5,5,0,0,0,
rollsroyce,cullinan,2019-2026,8,8,0,0,0,
rollsroyce,phantom,2017-2026,11,10,0,0,0,
rollsroyce,ghost,2018 2020-2026,11,8,0,0,0,
rollsroyce,dawn,2018,1,1,0,0,0,
rollsroyce,wraith,2018,1,1,0,0,0,
saab,900,1990-1998,9,9,0,0,0,
saab,9000,1990-1998,9,9,0,0,0,
saturn,s-series,1991-2002,12,12,0,0,0,
saturn,ion,2003-2007,5,5,0,0,0,
saturn,sc,1993-1999,7,7,0,0,0,
saturn,sw,1993-1999,7,7,0,0,0,
saturn,vue,2002-2010,9,9,0,0,0,
saturn,sky,2007-2010,4,4,0,0,0,
saturn,l-series,2000-2005,6,6,0,0,0,
saturn,sl,1991-1999,9,9,0,0,0,
scion,fr-s,2013-2016,12,4,0,0,0,
scion,tc,2005-2016,36,12,0,0,0,
scion,xb,2004-2006 2008-2015,33,11,0,0,0,
scion,ia,2016,1,1,0,0,0,
smart,fortwo,2018,2,1,0,0,0,
subaru,outback,1995-2026,236,32,0,0,0,
subaru,forester,1998-2026,203,29,0,0,0,
subaru,impreza,1993-2026,141,34,0,0,0,
subaru,crosstrek,2013-2026,81,14,0,0,0,
subaru,impreza-wrx-sti,2014,3,1,0,0,0,
subaru,legacy,1990-1994 2000-2025,160,31,0,0,0,
subaru,wrx-sti,2014-2021,29,7,1,0,0,
subaru,svx,1992-1997,6,6,0,0,0,
subaru,wrx,2002-2026,203,25,0,0,0,
subaru,ascent,2019-2026,48,8,0,0,0,
subaru,tribeca,2008-2014,7,7,0,0,0,
suzuki,grand-vitara,1999-2013,15,15,0,0,0,
suzuki,kizashi,2010-2013,4,4,0,0,0,
suzuki,sx4,2007-2013,7,7,0,0,0,
suzuki,sidekick,1990-1998,9,9,0,0,0,
suzuki,vitara,1999,1,1,0,0,0,
suzuki,samurai,1990-1995,6,6,0,0,0,
suzuki,swift,1990-1999,10,10,0,0,0,
suzuki,x-90,1996-1997,2,2,0,0,0,
tesla,model-s,2012-2026,39,15,0,0,0,
tesla,model-3,2017-2026,26,10,0,0,0,
tesla,model-y,2020-2026,16,7,0,0,0,
tesla,cybertruck,2024-2026,3,3,0,0,0,
toyota,tacoma,1995-2026,315,32,0,0,0,
toyota,gr86,2022-2026,17,5,0,0,0,
toyota,tundra,2000-2026,174,27,0,0,0,
toyota,highlander,2001-2026,278,26,0,0,0,
toyota,4runner,1990 2000-2026,163,28,0,0,0,
toyota,gr-supra,2020-2026,14,7,0,0,0,
toyota,corolla-im,2018,1,1,0,0,0,
toyota,mr2-spyder,2000-2006,13,7,0,0,0,
toyota,camry,1990-1991 2000-2026,182,29,0,0,0,
toyota,rav4-hybrid,2025,4,1,0,0,0,
toyota,sequoia,2001-2026,124,26,0,0,0,
toyota,prius-plug-in,2012-2017 2019-2026,18,14,0,0,0,
toyota,prius-v,2011-2017 2019-2021,16,10,0,0,0,
toyota,rav4,1996-2026,285,31,0,0,0,
toyota,prius-prime,2017-2024,17,8,0,0,0,
toyota,corolla,1990-2026,172,37,0,0,0,
toyota,yaris-ia,2018,1,1,0,0,0,
toyota,celica,1990-2005,16,16,0,0,0,
toyota,sienna,1998-2026,182,29,0,0,0,
toyota,prius-c,2018,4,1,0,0,0,
toyota,mirai,2016-2026,11,11,0,0,0,
toyota,gr-corolla,2022-2026,9,5,0,0,0,
toyota,grand-highlander,2024-2026,6,3,0,0,0,
toyota,echo,2000-2005,6,6,0,0,0,
toyota,tercel,1990-1999,10,10,0,0,0,
toyota,solara,2000-2008,9,9,0,0,0,
toyota,mr2,2000,1,1,0,0,0,
toyota,mr2-roadster,2000-2007,8,8,0,0,0,
toyota,corolla-cross,2020-2026,7,5,2,0,0,
toyota,t100,1993-1998,6,6,0,0,0,
volkswagen,passat,1990-1997 2000-2022,120,31,0,0,0,
volkswagen,tiguan,2009-2026,114,18,0,0,0,
volkswagen,gti,1990-1998 2000-2026,116,36,0,0,0,
volkswagen,gli,2008-2009,2,2,0,0,0,
volkswagen,atlas,2018-2026,64,9,0,0,0,
volkswagen,golf-sportwagen,2018,4,1,0,0,0,
volkswagen,golf-alltrack,2018,3,1,0,0,0,
volkswagen,id.4,2021-2026,36,6,0,0,0,
volkswagen,jetta,1990-1998 2000-2026,171,36,0,0,0,
volkswagen,tiguan-limited,2018,2,1,0,0,0,
volkswagen,jetta-gli,2012-2017 2019-2026,14,14,0,0,0,
volkswagen,golf,1990-1998 2000-2026,115,36,0,0,0,
volkswagen,atlas-cross-sport,2020-2026,7,7,0,0,0,
volkswagen,cabrio,1995-1999,5,5,0,0,0,
volkswagen,touareg,2004-2017,14,14,0,0,0,
volkswagen,rabbit,2006-2009,4,4,0,0,0,
volkswagen,taos,2022-2026,5,5,0,0,0,
volkswagen,r32,2008,1,1,0,0,0,
volkswagen,e-golf,2018,2,1,0,0,0,
volkswagen,golf-r,2018,1,1,0,0,0,
volvo,s60,2001-2009 2011-2025,120,24,0,0,0,
volvo,v90-cross-country,2018,3,1,0,0,0,
volvo,s60-cross-country,2018,1,1,0,0,0,
volvo,v60-cross-country,2018,2,1,0,0,0,
volvo,xc90,2003-2014 2016-2026,115,23,0,0,0,
volvo,s80,1999-2016,18,18,0,0,0,
volvo,960,1992-1997,6,6,0,0,0,
volvo,ex40,2024-2026,3,3,0,0,0,
volvo,850,1993-1997,5,5,0,0,0,
volvo,940,1991-1995,5,5,0,0,0,
volvo,s70,1998-2000,3,3,0,0,0,
volvo,xc40,2019-2026,8,8,0,0,0,
volvo,v70,1998-1999,2,2,0,0,0,
volvo,xc60,2010-2026,85,17,0,0,0,
volvo,v60,2015-2026,14,12,0,0,0,
volvo,ec40,2024-2026,3,3,0,0,0,
