make,nhtsa_model,vehicle_type,years_missing_epa_confirmed,n_epa_confirmed,years_missing_nhtsa_only,n_years_missing,n_years_listed,entirely_missing,epa_corroborated_any_year,most_recent_missing,priority_score
ferrari,296 Speciale,Passenger Car,2026,1,,1,1,true,true,2026,24
ferrari,296 Speciale A,Passenger Car,2026,1,,1,1,true,true,2026,24
ferrari,F12 tdf (Tour de France),Passenger Car,2017,1,,1,1,true,true,2017,24
ferrari,F60 America,Passenger Car,2016,1,,1,1,true,true,2016,24
ferrari,F80,Passenger Car,2026,1,,1,1,true,true,2026,24
ferrari,Monza SP1/SP2,Passenger Car,2023,1,,1,1,true,true,2023,24
ferrari,F40,Passenger Car,1991-1992,2,,2,2,true,true,1992,22
ferrari,488,Passenger Car,2020,1,,1,5,false,true,2020,20
ferrari,F355,Passenger Car,1999,1,1996 1998,3,3,true,true,1999,20
ferrari,296,Passenger Car,,0,2022-2026,5,5,true,false,2026,15
ferrari,360,Passenger Car,,0,2000-2005,6,6,true,false,2005,13
ferrari,348 ts,Passenger Car,,0,1990-1995,6,6,true,false,1995,10
ferrari,430,Passenger Car,,0,2007-2009,3,3,true,false,2009,10
ferrari,599,Passenger Car,,0,2006 2010-2011,3,3,true,false,2011,10
ferrari,456,Passenger Car,,0,1995-1999,5,5,true,false,1999,9
ferrari,456M,Passenger Car,,0,2000-2003,4,4,true,false,2003,8
ferrari,512 TR,Passenger Car,,0,1993-1995,3,3,true,false,1995,7
ferrari,348 Spider,Passenger Car,,0,1994-1995,2,2,true,false,1995,6
ferrari,355 Berlinetta,Passenger Car,,0,1995 1997,2,2,true,false,1997,6
ferrari,355 GTS,Passenger Car,,0,1995 1997,2,2,true,false,1997,6
ferrari,355 Spider,Passenger Car,,0,1995 1997,2,2,true,false,1997,6
fiat,500L,MPV,2014-2017 2019-2020,6,,6,7,false,true,2020,46
fiat,Freemont,MPV,,0,2011-2016,6,6,true,false,2016,22
fiat,Ducato,MPV,,0,2019-2023,5,5,true,false,2023,21
fiat,500e,Passenger Car,2026,1,,1,3,false,true,2026,20
fisker,Ocean,MPV,2023-2024,2,,2,2,true,true,2024,34
fisker,Nina,Passenger Car,,0,2011-2024,14,14,true,false,2024,24
fisker,Karma,Passenger Car,2012,1,2011,2,2,true,true,2012,22
ford,Transit Connect,Truck,2010-2017 2019-2023,13,,13,14,false,true,2023,76
ford,F-250,MPV,1991-1999,9,,9,37,false,true,1999,52
ford,F-150,MPV,1992-1999,8,,8,37,false,true,1999,48
ford,F-350,MPV,1991-1997 1999,8,,8,36,false,true,1999,48
ford,Ranger,MPV,1993-1999,7,,7,30,false,true,1999,44
ford,Freestar,Truck,2004-2007,4,,4,4,true,true,2007,41
ford,Ecosport,MPV,2019-2022,4,,4,5,false,true,2022,38
ford,Bronco,MPV,1992-1996,5,,5,13,false,true,1996,36
ford,C-Max,Passenger Car,2013-2017,5,,5,6,false,true,2017,36
ford,Freestyle,MPV,2005-2007,3,,3,3,true,true,2007,35
ford,Tempo,Passenger Car,1990-1994,5,,5,5,true,true,1994,34
ford,Maverick,Truck,2023-2024,2,,2,5,false,true,2024,32
ford,Windstar,MPV,2000-2003,4,,4,9,false,true,2003,32
ford,Festiva,Passenger Car,1990-1993,4,1994,5,5,true,true,1994,31
ford,Aspire,Passenger Car,1994-1997,4,,4,4,true,true,1997,30
ford,F-Super Duty,Truck,,0,1990-1997,8,8,true,false,1997,30
ford,Crown Victoria,Passenger Car,2008-2011,4,,4,22,false,true,2011,29
ford,Five Hundred,Passenger Car,2005-2007,3,,3,3,true,true,2007,29
ford,Bronco II,MPV,1990,1,,1,1,true,true,1990,24
ford,F-800,MPV,,0,1990-2002,13,13,true,false,2002,23
ford,A8513,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,A9513,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,A9522,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,AT8513,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,AT9513,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,AT9522,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,F-700,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,FT900,Truck,,0,1990-1998,9,9,true,false,1998,21
ford,L8000,Truck,,0,1990-1997,8,8,true,false,1997,20
ford,L9000,Truck,,0,1990-1997,8,8,true,false,1997,20
ford,LL9000,Truck,,0,1990-1997,8,8,true,false,1997,20
ford,L8513,MPV,,0,1990-1998,9,9,true,false,1998,19
ford,L9513,MPV,,0,1990-1998,9,9,true,false,1998,19
ford,LT8501,MPV,,0,1990-1998,9,9,true,false,1998,19
ford,LT8513,MPV,,0,1990-1998,9,9,true,false,1998,19
ford,LT9501,MPV,,0,1990-1998,9,9,true,false,1998,19
ford,LT9513,MPV,,0,1990-1998,9,9,true,false,1998,19
ford,LT9522,MPV,,0,1990-1998,9,9,true,false,1998,19
ford,CF8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,CFT8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LA8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LA9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LLA9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LLS9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LN7000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LN8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LN9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LNT8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LNT9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LS8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LS9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LT8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LT9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LTA9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LTL9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LTLA9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LTLS9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LTS8000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,LTS9000,MPV,,0,1990-1997,8,8,true,false,1997,18
ford,CF7000,MPV,,0,1990-1996,7,7,true,false,1996,17
ford,B600,MPV,,0,1990-1994,5,5,true,false,1994,15
ford,B700,MPV,,0,1990-1994,5,5,true,false,1994,15
ford,F-590,MPV,,0,1990-1994,5,5,true,false,1994,15
ford,P600,MPV,,0,1990-1994,5,5,true,false,1994,15
ford,Recreational Vehicle,MPV,,0,1990-1994,5,5,true,false,1994,15
ford,Contour,Passenger Car,2000,1,,1,6,false,true,2000,14
ford,E-550,Truck,,0,2002-2003,2,2,true,false,2003,14
ford,F-450,MPV,,0,1999 2018,2,28,false,false,2018,14
ford,GT MKII,Passenger Car,,0,2023-2026,4,4,true,false,2026,14
ford,ZX2,Passenger Car,1999,1,,1,5,false,true,1999,14
ford,B800,MPV,,0,1995-1997,3,3,true,false,1997,13
ford,CL9000,MPV,,0,1990-1992,3,3,true,false,1992,13
ford,P700,MPV,,0,1995-1997,3,3,true,false,1997,13
ford,P800,MPV,,0,1995-1997,3,3,true,false,1997,13
ford,Transit,MPV,,0,2026,1,12,false,false,2026,13
ford,L8501,MPV,,0,1997-1998,2,2,true,false,1998,12
ford,L9501,MPV,,0,1997-1998,2,2,true,false,1998,12
ford,GT,Passenger Car,,0,2004,1,9,false,true,2004,11
genesis,GV60,MPV,2023-2026,4,,4,4,true,true,2026,42
geo,Tracker,MPV,1990-1994,5,,5,5,true,true,1994,40
geo,Sprint,Passenger Car,,0,1990-1993,4,4,true,false,1993,8
gmc,Vandura,Truck,1990-1995,6,1996,7,7,true,true,1996,47
gmc,Rally,MPV,1990-1995,6,1996,7,7,true,true,1996,45
gmc,Sonoma,MPV,2000-2004,5,,5,14,false,true,2004,36
gmc,Savana,MPV,1996-1999,4,,4,31,false,true,1999,32
gmc,Hummer EV Pickup,Truck,2025,1,2026,2,5,false,true,2026,29
gmc,Hummer EV SUV,MPV,2025,1,2026,2,3,false,true,2026,27
gmc,Jimmy Utility,MPV,,0,1995-2005,11,11,true,false,2005,24
gmc,Canyon,Truck,,0,2013-2014,2,23,false,true,2014,23
gmc,Hi-Cube,Truck,,0,1990-1994,5,5,true,false,1994,17
gmc,Magna Van,Truck,,0,1990-1993,4,4,true,false,1993,16
gmc,Value Van,Truck,,0,1990-1993,4,4,true,false,1993,16
gmc,S15 Utility,MPV,,0,1990-1994,5,5,true,false,1994,15
gmc,R Conventional,Truck,,0,1990-1991,2,2,true,false,1991,14
gmc,V Conventional,Truck,,0,1990-1991,2,2,true,false,1991,14
gmc,Electric Vehicle,Passenger Car,,0,1997-2000,4,4,true,false,2000,8
honda,CR-Z,Passenger Car,2011-2016,6,,6,6,true,true,2016,44
honda,Accord,Passenger Car,1994-1999,6,,6,37,false,true,1999,34
honda,FCX Clarity,Passenger Car,2014,1,2004-2013,11,11,true,true,2014,31
honda,Prologue,MPV,2024-2025,2,,2,3,false,true,2025,30
honda,EV Plus,Passenger Car,1998-1999,2,1997,3,3,true,true,1999,23
honda,Civic,Passenger Car,1998-1999,2,,2,37,false,true,1999,18
honda,Insight,Passenger Car,,0,2007-2008,2,19,false,true,2008,15
hummer,H2,MPV,,0,2010,1,8,false,false,2010,10
hyundai,Accent,Passenger Car,2000-2017 2019-2022,22,,22,28,false,true,2022,104
hyundai,Azera,Passenger Car,2006-2017,12,2018,13,13,true,true,2018,69
hyundai,Nexo,MPV,2019-2026,8,,8,8,true,true,2026,58
hyundai,Genesis,Passenger Car,2009-2016,8,,8,8,true,true,2016,52
hyundai,Venue,Passenger Car,2020-2026,7,,7,7,true,true,2026,48
hyundai,Entourage,MPV,2007-2011,5,2006 2012-2014,9,9,true,true,2014,47
hyundai,Equus,Passenger Car,2011-2016,6,,6,6,true,true,2016,44
hyundai,Santa Cruz,Truck,2022-2025,4,,4,5,false,true,2025,40
hyundai,Excel,Passenger Car,1990-1994,5,,5,5,true,true,1994,34
hyundai,Scoupe,Passenger Car,1991-1995,5,,5,5,true,true,1995,34
hyundai,Xcient,Truck,,0,2023-2026,4,4,true,false,2026,22
hyundai,Ioniq 6 N,Passenger Car,,0,2026,1,1,true,true,2026,21
hyundai,Veloster N,Passenger Car,2022,1,,1,4,false,true,2022,20
hyundai,Veloster,Passenger Car,,0,2018,1,10,false,true,2018,17
hyundai,Tiburon,Passenger Car,2002,1,,1,12,false,true,2002,14
ineos,Grenadier,MPV,,0,2023-2026,4,4,true,false,2026,20
infiniti,FX35,MPV,2003-2010 2012,9,,9,9,true,true,2012,59
infiniti,FX45,MPV,2003-2008,6,,6,6,true,true,2008,47
infiniti,G35,Passenger Car,2003-2009,7,,7,7,true,true,2009,45
infiniti,M45,Passenger Car,2003-2004 2006-2010,7,,7,7,true,true,2010,45
infiniti,Q45,Passenger Car,2000-2006,7,2007,8,18,false,true,2007,42
infiniti,G37,Passenger Car,2008-2013,6,,6,6,true,true,2013,41
infiniti,M35,Passenger Car,2006-2010,5,,5,5,true,true,2010,37
infiniti,FX50,MPV,2009-2012,4,,4,5,false,true,2012,35
infiniti,QX70,MPV,2015-2017,3,2018,4,5,false,true,2018,35
infiniti,QX4,MPV,2000-2003,4,,4,7,false,true,2003,32
infiniti,I35,Passenger Car,2002-2004,3,,3,3,true,true,2004,26
infiniti,M30,Passenger Car,1990-1992,3,,3,3,true,true,1992,26
infiniti,G25,Passenger Car,2011-2012,2,,2,2,true,true,2012,25
infiniti,Q40,Passenger Car,2015,1,2016,2,2,true,true,2016,25
infiniti,QX30,Passenger Car,2017 2019,2,,2,3,false,true,2019,24
infiniti,G20,Passenger Car,2000-2002,3,,3,10,false,true,2002,22
infiniti,M37,Passenger Car,2011-2012,2,,2,3,false,true,2012,21
infiniti,M56,Passenger Car,2011-2012,2,,2,3,false,true,2012,21
infiniti,I30,Passenger Car,2000-2001,2,,2,6,false,true,2001,18
infiniti,M35h,Passenger Car,2012,1,,1,2,false,true,2012,17
infiniti,Q70,Passenger Car,,0,2022,1,9,false,true,2022,17
infiniti,Q70L,Passenger Car,,0,2022,1,8,false,true,2022,17
infiniti,QX56,MPV,,0,2003,1,11,false,true,2003,17
isuzu,Ascender,MPV,2003-2008,6,,6,6,true,true,2008,47
isuzu,Pickup,MPV,1990-1995,6,,6,6,true,true,1995,44
isuzu,Hombre,Truck,1996-2000,5,,5,5,true,true,2000,42
isuzu,i-290,Truck,2007-2008,2,,2,2,true,true,2008,33
isuzu,i-370,Truck,2007-2008,2,,2,2,true,true,2008,33
isuzu,i-280,Truck,2006,1,,1,1,true,true,2006,29
isuzu,i-350,Truck,2006,1,,1,1,true,true,2006,29
isuzu,IMPULSE,Passenger Car,1990-1992,3,,3,3,true,true,1992,26
isuzu,Stylus,Passenger Car,1990-1992,3,,3,3,true,true,1992,26
isuzu,VehiCross,MPV,2000-2001,2,2002,3,4,false,true,2002,25
isuzu,F6,Truck,,0,1997-2002,6,6,true,false,2002,18
isuzu,F7,Truck,,0,1997-2002,6,6,true,false,2002,18
isuzu,FSR,Truck,,0,1992-1996,5,5,true,false,1996,17
isuzu,Rodeo,MPV,,0,1990,1,14,false,true,1990,17
jaguar,Vanden Plas,Passenger Car,1996-2003,8,1990-1995 2004,15,15,true,true,2004,53
jaguar,XK,Passenger Car,2000-2006,7,,7,16,false,true,2006,41
jaguar,XK8,Passenger Car,2000-2004,5,,5,8,false,true,2004,30
jaguar,F-PACE,MPV,2026,1,,1,10,false,true,2026,26
jeep,Wrangler,MPV,1990-1995 1997-1999,9,,9,37,false,true,1999,52
jeep,Commander,MPV,2006-2010,5,,5,5,true,true,2010,43
jeep,Wagoneer S,MPV,2024-2026,3,,3,3,true,true,2026,38
jeep,Grand Wagoneer,MPV,1990-1991 2026,3,1992-1993,5,9,false,true,2026,36
jeep,Comanche,MPV,1990-1992,3,,3,3,true,true,1992,32
jeep,Liberty,Truck,,0,1993-2001 2013,10,21,false,true,2013,31
jeep,Recon,MPV,2026,1,,1,1,true,true,2026,30
jeep,Cherokee,MPV,2026,1,,1,33,false,true,2026,26
jeep,Grand Wagoneer L,MPV,2026,1,,1,3,false,true,2026,26
jeep,Patriot,MPV,,0,2018,1,12,false,true,2018,23
jeep,Compass,MPV,,0,2006,1,21,false,true,2006,20
jeep,Wagoneer,MPV,1990,1,,1,5,false,true,1990,20
karma,GS-6,Passenger Car,2021,1,2022-2025,5,5,true,true,2025,28
karma,Revero,Passenger Car,2019-2020,2,2017 2021-2022 2025,6,7,false,true,2025,28
karma,Revero GT,Passenger Car,,0,2021-2024,4,4,true,true,2024,24
kia,Rio,Passenger Car,2001-2017 2019-2023,22,,22,23,false,true,2023,104
kia,Sephia,Passenger Car,1993-2001,9,,9,9,true,true,2001,50
kia,Rondo,Passenger Car,2007-2012,6,2013-2016,10,10,true,true,2016,48
kia,K900,Passenger Car,2015-2020,6,,6,6,true,true,2020,44
kia,Amanti,Passenger Car,2004-2009,6,,6,6,true,true,2009,41
kia,Cadenza,Passenger Car,2014-2017 2019-2020,6,,6,7,false,true,2020,40
kia,Carnival,MPV,2022-2025,4,,4,5,false,true,2025,38
kia,Spectra,Passenger Car,2000-2004,5,,5,10,false,true,2004,30
kia,Sportage,Passenger Car,1995-1999,5,,5,32,false,true,1999,30
kia,Borrego,Passenger Car,2009-2011,3,,3,3,true,true,2011,29
kia,K4,Passenger Car,2025-2026,2,,2,2,true,true,2026,28
kia,Sedona,MPV,,0,2001,1,21,false,true,2001,17
kia,Sorento,MPV,,0,2001,1,25,false,true,2001,17
lamborghini,Gallardo,Passenger Car,2004-2014,11,,11,11,true,true,2014,61
lamborghini,Diablo,Passenger Car,1990-1999 2001,11,2000,12,12,true,true,2001,59
lamborghini,Murcielago,Passenger Car,2004-2010,7,,7,7,true,true,2010,45
lamborghini,Revuelto,Passenger Car,2024-2025,2,2026,3,3,true,true,2026,29
lamborghini,Aventador,Passenger Car,2018,1,,1,12,false,true,2018,20
lamborghini,Huracan,Passenger Car,2018,1,,1,10,false,true,2018,20
lamborghini,Roadster,Passenger Car,,0,1990-2000,11,11,true,false,2000,15
landrover,LR2,MPV,2008-2015,8,,8,8,true,true,2015,58
landrover,Discovery,MPV,2000-2004 2026,6,,6,21,false,true,2026,46
landrover,Freelander,MPV,2002-2005,4,,4,4,true,true,2005,39
landrover,Range Rover,MPV,2000-2001 2026,3,,3,37,false,true,2026,34
landrover,New Range Rover,MPV,2022,1,,1,1,true,true,2022,30
lexus,SC,Passenger Car,2000 2002-2010,10,2001,11,19,false,true,2010,54
lexus,LX,MPV,2000-2007,8,,8,31,false,true,2007,51
lexus,CT,Passenger Car,2011-2017,7,,7,7,true,true,2017,48
lexus,RZ,MPV,2023-2026,4,,4,4,true,true,2026,42
lexus,TX,MPV,2024-2026,3,,3,3,true,true,2026,38
lexus,HS,Passenger Car,2010-2012,3,,3,3,true,true,2012,29
lexus,LFA,Passenger Car,2012,1,2013,2,2,true,true,2013,22
lincoln,MKS,Passenger Car,2009-2016,8,,8,8,true,true,2016,52
lincoln,Navigator L,MPV,2017-2021,5,2022-2026,10,10,true,true,2026,51
lincoln,Continental,Passenger Car,1991-1999,9,,9,17,false,true,1999,46
lincoln,Mark LT,Truck,2006-2008,3,,3,3,true,true,2008,37
lincoln,Blackwood,Truck,2002-2003,2,,2,2,true,true,2003,30
lincoln,Corsair,MPV,2026,1,,1,7,false,true,2026,26
lincoln,Nautilus,MPV,2026,1,,1,8,false,true,2026,26
lincoln,Zephyr,Passenger Car,2006,1,,1,1,true,true,2006,21
lotus,Esprit,Passenger Car,1990-1995 1997-2004,14,1996 2007-2009,18,18,true,true,2009,77
lotus,Elan,Passenger Car,1991-1993,3,1990 1994-1997 2007-2009,11,11,true,true,2009,37
lotus,Elise,Passenger Car,2005-2009,5,,5,8,false,true,2009,33
lotus,Exige,Passenger Car,2008 2010-2011,3,2012,4,4,true,true,2012,30
lotus,ELETRE,MPV,,0,2025-2026,2,2,true,false,2026,18
lotus,Eclat,Passenger Car,,0,1990 1992-1997 2007-2008,9,9,true,false,2008,16
lotus,Elite,Passenger Car,,0,1990 1992-1997 2007-2008,9,9,true,false,2008,16
lotus,2-Eleven,Passenger Car,,0,2008-2009 2011-2012,4,4,true,false,2012,11
lotus,Europa,Passenger Car,,0,2007-2009,3,3,true,false,2009,10
lotus,MEL,Passenger Car,,0,2007-2009,3,3,true,false,2009,10
lotus,340R,Passenger Car,,0,2007-2008,2,2,true,false,2008,9
lotus,Eagle,Passenger Car,,0,2008-2009,2,2,true,false,2009,9
lotus,Eleven,Passenger Car,,0,2007 2010,2,2,true,false,2010,9
lotus,Monaco,Passenger Car,,0,2007-2008,2,2,true,false,2008,9
lotus,Monza,Passenger Car,,0,2007-2008,2,2,true,false,2008,9
lotus,Spa,Passenger Car,,0,2007-2008,2,2,true,false,2008,9
lucid,Gravity,MPV,2025-2026,2,,2,2,true,true,2026,34
lucid,Air,Passenger Car,2025-2026,2,,2,5,false,true,2026,24
maserati,Quattroporte,Passenger Car,2005-2012 2024,9,1990-1991,11,22,false,true,2024,54
maserati,Grecale,MPV,2023-2026,4,,4,4,true,true,2026,42
maserati,Spyder,Passenger Car,1990-1991 2002-2004,5,2006,6,6,true,true,2006,38
maserati,MC20,Passenger Car,2022-2025,4,,4,4,true,true,2025,36
maserati,Grancabrio,Passenger Car,2024-2026,3,,3,3,true,true,2026,32
maserati,Levante,MPV,2024,1,,1,8,false,true,2024,26
maserati,MCPura,Passenger Car,2026,1,,1,1,true,true,2026,24
maserati,430,Passenger Car,1990-1991,2,,2,2,true,true,1991,22
