make,epa_base_model,vclass,years_missing,n_years_missing
jkmotors,BMW535I,Midsize Cars,1992-1993,2
jkmotors,BMW635CSI,Midsize Cars,1992-1993,2
jkmotors,BMW635L6,Midsize Cars,1992-1993,2
jkmotors,BMW735I,Midsize Cars,1992-1993,2
jkmotors,BMW735IL,Midsize Cars,1992-1993,2
jkmotors,MERC BENZ 300CE,Midsize Cars,1992-1993,2
jkmotors,MERC BENZ 300E,Midsize Cars,1992-1993,2
jkmotors,MERC BENZ 300SE,Midsize Cars,1992-1993,2
jkmotors,MERC BENZ 300SEL,Large Cars,1992-1993,2
jkmotors,MERC BENZ 300TE,Midsize-Large Station Wagons,1992-1993,2
quantumtechnologies,Chevrolet Cavalier,Subcompact Cars,1998-1999,2
bmw,ActiveHybrid X6,Sport Utility Vehicle - 4WD,2010-2011,2
codaautomotive,CODA,Subcompact Cars,2012-2013,2
srt,Viper,Two Seaters,2013-2014,2
wallaceenvironmental,Wetl 300,Midsize-Large Station Wagons,1991-1992,2
ferrari,458 Speciale,Two Seaters,2014-2015,2
koenigsegg,Regera,Two Seaters,2019-2020,2
alfaromeo,Tonale eAWD,Small Sport Utility Vehicle 4WD,2024-2025,2
polestar,4,Standard Sport Utility Vehicle 2WD,2025-2026,2
polestar,3,Standard Sport Utility Vehicle 4WD,2025-2026,2
ferrari,296 GTS,Two Seaters,2025-2026,2
maserati,GT2 Stradale,Two Seaters,2025-2026,2
evansautomobiles,Series 1,Two Seaters,1990-1991,2
sterling,827,Compact Cars,1990-1991,2
mazda,323 Protege,Compact Cars,1990-1991,2
mitsubishi,Space Wagon,Small Station Wagons,1990-1991,2
vector,W8,Two Seaters,1992-1993,2
